index,date,time,price,volume
723,2022-09-21,13:40:00,82.14,0.0
724,2022-09-21,13:50:00,82.14,0.0
725,2022-09-21,14:00:00,82.14,0.0
726,2022-09-21,14:10:00,82.14,0.0
727,2022-09-21,14:20:00,82.14,0.0
728,2022-09-21,14:30:00,82.14,0.0
729,2022-09-21,14:40:00,82.14,0.0
730,2022-09-21,14:50:00,81.18,2.0
731,2022-09-21,15:00:00,81.18,0.0
732,2022-09-21,15:10:00,80.59,1.0
733,2022-09-21,15:20:00,80.59,0.0
734,2022-09-21,15:30:00,80.59,0.0
735,2022-09-21,15:40:00,80.59,0.0
736,2022-09-21,15:50:00,80.59,0.0
737,2022-09-21,16:00:00,80.59,0.0
779,2022-09-22,14:00:00,82.15,2.0
780,2022-09-22,14:10:00,82.15,0.0
781,2022-09-22,14:20:00,82.15,0.0
782,2022-09-22,14:30:00,82.15,0.0
783,2022-09-22,14:40:00,82.15,0.0
784,2022-09-22,14:50:00,82.15,0.0
785,2022-09-22,15:00:00,82.15,0.0
786,2022-09-22,15:10:00,82.15,0.0
787,2022-09-22,15:20:00,82.15,0.0
788,2022-09-22,15:30:00,82.15,0.0
789,2022-09-22,15:40:00,82.15,0.0
790,2022-09-22,15:50:00,82.15,0.0
791,2022-09-22,16:00:00,82.15,0.0
833,2022-09-23,14:00:00,78.04,1.0
834,2022-09-23,14:10:00,78.04,0.0
835,2022-09-23,14:20:00,78.04,0.0
836,2022-09-23,14:30:00,76.78,1.0
837,2022-09-23,14:40:00,76.78,0.0
838,2022-09-23,14:50:00,76.43,1.0
839,2022-09-23,15:00:00,76.43,0.0
840,2022-09-23,15:10:00,76.43,0.0
841,2022-09-23,15:20:00,76.43,0.0
842,2022-09-23,15:30:00,75.82,1.0
843,2022-09-23,15:40:00,75.91,1.0
844,2022-09-23,15:50:00,75.91,0.0
845,2022-09-23,16:00:00,75.91,0.0
887,2022-09-26,14:10:00,75.49,2.0
888,2022-09-26,14:20:00,75.49,0.0
889,2022-09-26,14:30:00,75.49,0.0
890,2022-09-26,14:40:00,75.49,0.0
891,2022-09-26,14:50:00,75.49,0.0
892,2022-09-26,15:00:00,75.49,0.0
893,2022-09-26,15:10:00,75.49,0.0
894,2022-09-26,15:20:00,75.49,0.0
895,2022-09-26,15:30:00,75.49,0.0
896,2022-09-26,15:40:00,75.49,0.0
897,2022-09-26,15:50:00,75.49,0.0
898,2022-09-26,16:00:00,75.49,0.0
940,2022-09-27,11:20:00,74.89,1.0
941,2022-09-27,11:30:00,74.89,0.0
942,2022-09-27,11:40:00,74.89,0.0
943,2022-09-27,11:50:00,74.89,0.0
944,2022-09-27,12:00:00,74.89,0.0
945,2022-09-27,12:10:00,74.89,0.0
946,2022-09-27,12:20:00,74.7,1.0
947,2022-09-27,12:30:00,74.7,0.0
948,2022-09-27,12:40:00,74.7,0.0
949,2022-09-27,12:50:00,74.7,0.0
950,2022-09-27,13:00:00,74.7,0.0
951,2022-09-27,13:10:00,74.7,0.0
952,2022-09-27,13:20:00,74.7,0.0
953,2022-09-27,13:30:00,74.7,0.0
954,2022-09-27,13:40:00,74.7,0.0
955,2022-09-27,13:50:00,74.7,0.0
956,2022-09-27,14:00:00,74.7,0.0
957,2022-09-27,14:10:00,74.7,0.0
958,2022-09-27,14:20:00,74.7,0.0
959,2022-09-27,14:30:00,75.41,1.0
960,2022-09-27,14:40:00,75.0,35.0
961,2022-09-27,14:50:00,75.92,9.0
962,2022-09-27,15:00:00,75.92,0.0
963,2022-09-27,15:10:00,75.64,1.0
964,2022-09-27,15:20:00,75.67,1.0
965,2022-09-27,15:30:00,75.67,0.0
966,2022-09-27,15:40:00,75.67,0.0
967,2022-09-27,15:50:00,75.5,25.0
968,2022-09-27,16:00:00,75.5,0.0
1010,2022-09-28,14:10:00,75.67,1.0
1011,2022-09-28,14:20:00,75.67,0.0
1012,2022-09-28,14:30:00,75.67,0.0
1013,2022-09-28,14:40:00,75.73,4.0
1014,2022-09-28,14:50:00,75.73,0.0
1015,2022-09-28,15:00:00,76.13,3.0
1016,2022-09-28,15:10:00,76.13,0.0
1017,2022-09-28,15:20:00,76.13,0.0
1018,2022-09-28,15:30:00,76.13,0.0
1019,2022-09-28,15:40:00,76.13,0.0
1020,2022-09-28,15:50:00,76.13,0.0
1021,2022-09-28,16:00:00,76.13,0.0
1063,2022-09-29,14:10:00,78.4,1.0
1064,2022-09-29,14:20:00,78.4,0.0
1065,2022-09-29,14:30:00,78.4,0.0
1066,2022-09-29,14:40:00,78.4,0.0
1067,2022-09-29,14:50:00,77.71,1.0
1068,2022-09-29,15:00:00,77.26,1.0
1069,2022-09-29,15:10:00,77.26,0.0
1070,2022-09-29,15:20:00,77.26,0.0
1071,2022-09-29,15:30:00,77.26,0.0
1072,2022-09-29,15:40:00,77.26,0.0
1073,2022-09-29,15:50:00,77.26,0.0
1074,2022-09-29,16:00:00,77.26,0.0
1116,2022-09-30,11:00:00,77.35,1.0
1117,2022-09-30,11:10:00,77.35,0.0
1118,2022-09-30,11:20:00,77.35,0.0
1119,2022-09-30,11:30:00,77.35,0.0
1120,2022-09-30,11:40:00,77.35,0.0
1121,2022-09-30,11:50:00,77.35,0.0
1122,2022-09-30,12:00:00,77.35,0.0
1123,2022-09-30,12:10:00,77.35,0.0
1124,2022-09-30,12:20:00,77.35,0.0
1125,2022-09-30,12:30:00,77.35,0.0
1126,2022-09-30,12:40:00,77.35,0.0
1127,2022-09-30,12:50:00,77.35,0.0
1128,2022-09-30,13:00:00,77.35,0.0
1129,2022-09-30,13:10:00,77.35,0.0
1130,2022-09-30,13:20:00,77.35,0.0
1131,2022-09-30,13:30:00,77.35,0.0
1132,2022-09-30,13:40:00,77.35,0.0
1133,2022-09-30,13:50:00,77.35,0.0
1134,2022-09-30,14:00:00,77.35,0.0
1135,2022-09-30,14:10:00,77.35,0.0
1136,2022-09-30,14:20:00,77.35,0.0
1137,2022-09-30,14:30:00,77.35,0.0
1138,2022-09-30,14:40:00,77.35,0.0
1139,2022-09-30,14:50:00,77.35,0.0
1140,2022-09-30,15:00:00,77.35,0.0
1141,2022-09-30,15:10:00,77.35,0.0
1142,2022-09-30,15:20:00,76.6,1.0
1143,2022-09-30,15:30:00,76.6,0.0
1144,2022-09-30,15:40:00,76.6,0.0
1145,2022-09-30,15:50:00,76.6,0.0
1146,2022-09-30,16:00:00,76.6,0.0
1193,2022-10-03,09:30:00,78.45,0.0
1194,2022-10-03,09:40:00,78.45,0.0
1195,2022-10-03,09:50:00,78.45,0.0
1196,2022-10-03,10:00:00,78.45,0.0
1197,2022-10-03,10:10:00,78.45,0.0
1198,2022-10-03,10:20:00,78.45,0.0
1199,2022-10-03,10:30:00,78.45,0.0
1200,2022-10-03,10:40:00,78.45,0.0
1201,2022-10-03,10:50:00,78.45,0.0
1202,2022-10-03,11:00:00,78.45,0.0
1203,2022-10-03,11:10:00,78.45,0.0
1204,2022-10-03,11:20:00,78.45,0.0
1205,2022-10-03,11:30:00,78.45,0.0
1206,2022-10-03,11:40:00,78.45,0.0
1207,2022-10-03,11:50:00,78.45,0.0
1208,2022-10-03,12:00:00,78.45,0.0
1209,2022-10-03,12:10:00,78.45,0.0
1210,2022-10-03,12:20:00,78.45,0.0
1211,2022-10-03,12:30:00,78.45,0.0
1212,2022-10-03,12:40:00,78.45,0.0
1213,2022-10-03,12:50:00,78.45,0.0
1214,2022-10-03,13:00:00,78.45,0.0
1215,2022-10-03,13:10:00,78.45,0.0
1216,2022-10-03,13:20:00,78.45,0.0
1217,2022-10-03,13:30:00,78.45,0.0
1218,2022-10-03,13:40:00,78.45,0.0
1219,2022-10-03,13:50:00,78.45,0.0
1220,2022-10-03,14:00:00,78.45,0.0
1221,2022-10-03,14:10:00,78.45,0.0
1222,2022-10-03,14:20:00,78.45,0.0
1223,2022-10-03,14:30:00,78.45,0.0
1224,2022-10-03,14:40:00,78.45,0.0
1225,2022-10-03,14:50:00,79.06,4.0
1226,2022-10-03,15:00:00,79.06,3.0
1227,2022-10-03,15:10:00,79.06,0.0
1228,2022-10-03,15:20:00,79.06,0.0
1229,2022-10-03,15:30:00,79.06,0.0
1230,2022-10-03,15:40:00,79.06,0.0
1231,2022-10-03,15:50:00,78.46,4.0
1232,2022-10-03,16:00:00,78.46,0.0
1274,2022-10-04,10:30:00,79.31,1.0
1275,2022-10-04,10:40:00,79.31,0.0
1276,2022-10-04,10:50:00,79.31,0.0
1277,2022-10-04,11:00:00,79.31,0.0
1278,2022-10-04,11:10:00,79.31,0.0
1279,2022-10-04,11:20:00,79.31,0.0
1280,2022-10-04,11:30:00,79.31,0.0
1281,2022-10-04,11:40:00,79.31,0.0
1282,2022-10-04,11:50:00,79.31,0.0
1283,2022-10-04,12:00:00,79.31,0.0
1284,2022-10-04,12:10:00,79.31,0.0
1285,2022-10-04,12:20:00,79.31,0.0
1286,2022-10-04,12:30:00,79.31,0.0
1287,2022-10-04,12:40:00,79.31,0.0
1288,2022-10-04,12:50:00,79.31,0.0
1289,2022-10-04,13:00:00,79.31,0.0
1290,2022-10-04,13:10:00,79.31,0.0
1291,2022-10-04,13:20:00,79.31,0.0
1292,2022-10-04,13:30:00,79.31,0.0
1293,2022-10-04,13:40:00,79.31,0.0
1294,2022-10-04,13:50:00,79.31,0.0
1295,2022-10-04,14:00:00,79.31,0.0
1296,2022-10-04,14:10:00,80.37,1.0
1297,2022-10-04,14:20:00,80.37,0.0
1298,2022-10-04,14:30:00,80.37,0.0
1299,2022-10-04,14:40:00,80.37,0.0
1300,2022-10-04,14:50:00,80.37,0.0
