nterm,date,time,price,volume,prev_day_volume,total_daily_volume_prev_day,yesterday_close,flat_delta_px_prev_bar,percent_delta_px_prev_bar,flat_delta_px_close,percent_delta_px_close
91,2022-09-01,11:20:00,84.29,34.0,6.0,350.0,86.19,-0.3799999999999954,-0.4488012282980931,-1.899999999999992,-2.2044320686854526
92,2022-09-01,11:30:00,84.39,27.0,8.0,350.0,86.19,0.0999999999999943,0.1186380353541277,-1.7999999999999972,-2.08840932822833
93,2022-09-01,11:40:00,84.84,16.0,5.0,350.0,86.19,0.4500000000000028,0.5332385353714929,-1.3499999999999943,-1.566306996171243
94,2022-09-01,11:50:00,84.66,10.0,9.0,350.0,86.19,-0.1800000000000068,-0.2121640735502201,-1.5300000000000011,-1.7751479289940844
95,2022-09-01,12:00:00,84.75,4.0,19.0,350.0,86.19,0.0900000000000034,0.1063075832742775,-1.4399999999999975,-1.6707274625826636
96,2022-09-01,12:10:00,84.41,6.0,10.0,350.0,86.19,-0.3400000000000034,-0.4011799410029539,-1.7800000000000011,-2.065204780136908
97,2022-09-01,12:20:00,84.49,8.0,4.0,350.0,86.19,0.0799999999999983,0.0947755005331101,-1.7000000000000028,-1.9723865877712063
98,2022-09-01,12:30:00,84.09,14.0,6.0,350.0,86.19,-0.3999999999999915,-0.4734288081429654,-2.0999999999999943,-2.436477549599715
99,2022-09-01,12:40:00,84.37,8.0,6.0,350.0,86.19,0.2800000000000011,0.3329765727197064,-1.8199999999999927,-2.1116138763197507
100,2022-09-01,12:50:00,84.4,10.0,6.0,350.0,86.19,0.0300000000000011,0.035557662676308,-1.789999999999992,-2.076807054182611
101,2022-09-01,13:00:00,84.11,5.0,8.0,350.0,86.19,-0.2900000000000062,-0.3436018957346045,-2.0799999999999983,-2.4132730015082937
102,2022-09-01,13:10:00,84.32,5.0,1.0,350.0,86.19,0.2099999999999937,0.2496730472000876,-1.8700000000000043,-2.169625246548329
103,2022-09-01,13:20:00,84.5,7.0,0.0,350.0,86.19,0.1800000000000068,0.213472485768509,-1.6899999999999975,-1.960784313725488
104,2022-09-01,13:30:00,84.29,49.0,7.0,350.0,86.19,-0.2099999999999937,-0.2485207100591641,-1.899999999999992,-2.2044320686854526
105,2022-09-01,13:40:00,83.9,64.0,4.0,350.0,86.19,-0.3900000000000005,-0.4626883378811253,-2.289999999999992,-2.656920756468258
106,2022-09-01,13:50:00,83.77,53.0,3.0,350.0,86.19,-0.1300000000000096,-0.1549463647199161,-2.4200000000000017,-2.8077503190625386
107,2022-09-01,14:00:00,83.78,49.0,6.0,350.0,86.19,0.0100000000000051,0.011937447773672,-2.4099999999999966,-2.79614804501682
108,2022-09-01,14:10:00,83.96,51.0,5.0,350.0,86.19,0.1799999999999926,0.2148484125089431,-2.230000000000004,-2.587307112193995
109,2022-09-01,14:20:00,84.23,80.0,65.0,350.0,86.19,0.2700000000000102,0.3215817055740951,-1.9599999999999933,-2.2740457129597327
110,2022-09-01,14:30:00,84.02,4.0,11.0,350.0,86.19,-0.2100000000000079,-0.249317345363894,-2.1700000000000017,-2.5176934679197145
111,2022-09-01,14:40:00,83.97,3.0,6.0,350.0,86.19,-0.0499999999999971,-0.0595096405617676,-2.219999999999999,-2.575704838148276
112,2022-09-01,14:50:00,83.84,3.0,13.0,350.0,86.19,-0.1299999999999954,-0.1548171966178343,-2.3499999999999943,-2.726534400742539
113,2022-09-01,15:00:00,83.84,0.0,0.0,350.0,86.19,0.0,0.0,-2.3499999999999943,-2.726534400742539
